batch,loss,accuracy
0,"tensor(5.1635, device='cuda:0', grad_fn=<NllLossBackward0>)",0.007
1,"tensor(5.0079, device='cuda:0', grad_fn=<NllLossBackward0>)",0.052
2,"tensor(4.7512, device='cuda:0', grad_fn=<NllLossBackward0>)",0.068
3,"tensor(4.3534, device='cuda:0', grad_fn=<NllLossBackward0>)",0.071
4,"tensor(4.4470, device='cuda:0', grad_fn=<NllLossBackward0>)",0.082
5,"tensor(4.4857, device='cuda:0', grad_fn=<NllLossBackward0>)",0.087
6,"tensor(4.1394, device='cuda:0', grad_fn=<NllLossBackward0>)",0.133
7,"tensor(4.2385, device='cuda:0', grad_fn=<NllLossBackward0>)",0.102
8,"tensor(4.1434, device='cuda:0', grad_fn=<NllLossBackward0>)",0.12
9,"tensor(4.1874, device='cuda:0', grad_fn=<NllLossBackward0>)",0.128
10,"tensor(4.0058, device='cuda:0', grad_fn=<NllLossBackward0>)",0.152
11,"tensor(4.0135, device='cuda:0', grad_fn=<NllLossBackward0>)",0.161
12,"tensor(3.9660, device='cuda:0', grad_fn=<NllLossBackward0>)",0.152
13,"tensor(3.8040, device='cuda:0', grad_fn=<NllLossBackward0>)",0.177
14,"tensor(3.8378, device='cuda:0', grad_fn=<NllLossBackward0>)",0.185
15,"tensor(3.6960, device='cuda:0', grad_fn=<NllLossBackward0>)",0.206
16,"tensor(3.6881, device='cuda:0', grad_fn=<NllLossBackward0>)",0.226
17,"tensor(3.5973, device='cuda:0', grad_fn=<NllLossBackward0>)",0.202
18,"tensor(3.6227, device='cuda:0', grad_fn=<NllLossBackward0>)",0.21
19,"tensor(3.5500, device='cuda:0', grad_fn=<NllLossBackward0>)",0.234
20,"tensor(3.5614, device='cuda:0', grad_fn=<NllLossBackward0>)",0.21
21,"tensor(3.4183, device='cuda:0', grad_fn=<NllLossBackward0>)",0.216
22,"tensor(3.3779, device='cuda:0', grad_fn=<NllLossBackward0>)",0.225
23,"tensor(3.4448, device='cuda:0', grad_fn=<NllLossBackward0>)",0.231
24,"tensor(3.4022, device='cuda:0', grad_fn=<NllLossBackward0>)",0.221
25,"tensor(3.2501, device='cuda:0', grad_fn=<NllLossBackward0>)",0.244
26,"tensor(3.2969, device='cuda:0', grad_fn=<NllLossBackward0>)",0.237
27,"tensor(3.1583, device='cuda:0', grad_fn=<NllLossBackward0>)",0.273
28,"tensor(3.1872, device='cuda:0', grad_fn=<NllLossBackward0>)",0.241
29,"tensor(3.0913, device='cuda:0', grad_fn=<NllLossBackward0>)",0.256
30,"tensor(3.1181, device='cuda:0', grad_fn=<NllLossBackward0>)",0.238
31,"tensor(3.1376, device='cuda:0', grad_fn=<NllLossBackward0>)",0.255
32,"tensor(3.0612, device='cuda:0', grad_fn=<NllLossBackward0>)",0.252
33,"tensor(3.1356, device='cuda:0', grad_fn=<NllLossBackward0>)",0.252
34,"tensor(3.0593, device='cuda:0', grad_fn=<NllLossBackward0>)",0.257
